0.00, 231.2
0.00, 230.0
0.00, 254.8
0.00, 248.1
0.00, 266.9
0.00, 262.6
0.00, 207.6
0.00, 237.0
0.00, 241.0
0.00, 244.9
0.00, 260.3
0.00, 266.4
0.00, 249.1
0.00, 264.9
0.00, 251.3
0.00, 245.7
0.00, 253.3
0.00, 245.9
0.00, 234.9
0.00, 236.9
0.00, 234.2
0.00, 237.1
0.00, 275.9
0.00, 273.9
0.57, 259.3
0.57, 277.0
0.57, 301.1
0.57, 296.7
0.57, 262.5
0.57, 227.7
0.57, 201.2
0.57, 212.3
0.57, 237.5
0.57, 248.6
0.57, 242.1
0.57, 244.8
0.57, 270.2
0.57, 258.5
0.57, 269.7
0.57, 264.9
0.57, 249.7
0.57, 266.4
0.57, 250.5
0.57, 266.9
1.15, 287.7
1.15, 271.2
1.15, 255.7
1.15, 267.0
1.15, 214.9
1.15, 216.3
1.15, 229.4
1.15, 244.7
1.15, 245.0
1.15, 241.7
1.15, 231.3
1.15, 257.7
1.15, 279.2
1.15, 266.6
1.15, 256.9
1.15, 262.9
1.15, 276.2
1.15, 277.2
1.15, 271.2
1.15, 249.1
1.15, 252.0
1.72, 249.2
1.72, 242.4
1.72, 262.5
1.72, 213.1
1.72, 236.1
1.72, 244.6
1.72, 260.4
1.72, 268.7
1.72, 274.2
1.72, 285.1
1.72, 267.5
1.72, 272.9
1.72, 270.8
1.72, 265.0
2.29, 151.7
2.29, 208.1
2.29, 232.0
2.29, 250.5
2.29, 265.7
2.86, 140.9
2.86, 206.8
2.86, 239.2
2.86, 259.2
2.86, 259.1
3.44, 138.0
3.44, 202.7
3.44, 252.2
3.44, 275.6
3.44, 279.9
4.01, 148.2
4.01, 209.8
4.01, 255.7
4.01, 272.9
4.01, 299.3
4.58, 158.0
4.58, 232.0
4.58, 252.5
4.58, 249.3
4.58, 270.5
5.16, 143.5
5.16, 218.1
5.16, 240.0
5.16, 205.3
5.16, 226.1
5.73, 121.6
5.73, 184.9
5.73, 237.0
5.73, 262.7
5.73, 270.6
6.30, 143.8
6.30, 181.3
6.30, 223.1
6.30, 202.4
6.30, 236.7
6.88, 126.7
6.88, 221.6
6.88, 240.6
6.88, 254.6
6.88, 270.3
7.45, 143.4
7.45, 213.3
7.45, 232.0
7.45, 249.5
7.45, 249.2
8.02, 133.3
8.02, 200.9
8.02, 235.5
8.02, 245.6
8.02, 244.5
8.59, 130.9
8.59, 177.9
8.59, 206.8
8.59, 216.3
8.59, 213.9
9.17, 115.8
9.17, 182.2
9.17, 196.6
9.17, 210.7
9.17, 224.5
9.74, 121.1
9.74, 183.7
9.74, 213.1
9.74, 222.4
9.74, 184.9
10.31, 101.6
10.31, 179.0
10.31, 223.5
10.31, 213.5
10.31, 228.1
10.89, 122.7
10.89, 194.0
10.89, 215.6
10.89, 206.3
10.89, 183.8
11.46, 101.1
11.46, 150.8
11.46, 187.6
11.46, 183.4
11.46, 191.9
12.03, 104.5
12.03, 182.7
12.03, 213.4
